,employer_id,employer_name,industry_id,industry_name
65,1011769,АйТи-Консалтинг,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг","Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
66,1012000,Стоматологическая практика,Лечебно-профилактические учреждения,Лечебно-профилактические учреждения
67,1012076,Дальпико-Рыбсервис,Розничная сеть (продуктовая),Розничная сеть (продуктовая)
68,1012076,Дальпико-Рыбсервис,"Рыба и морепродукты (продвижение, оптовая торговля)","Рыба и морепродукты (продвижение, оптовая торговля)"
69,1012076,Дальпико-Рыбсервис,Рыба и морепродукты (производство),Рыба и морепродукты (производство)
70,101260,БЦР Моторс,"Легковые, грузовые автомобили, мототехника, автобусы, троллейбусы (производство)","Легковые, грузовые автомобили, мототехника, автобусы, троллейбусы (производство)"
71,101260,БЦР Моторс,"Автокомпоненты, запчасти, шины (продвижение, оптовая торговля)","Автокомпоненты, запчасти, шины (продвижение, оптовая торговля)"
72,101260,БЦР Моторс,Розничная торговля автомобилями (дилерский центр),Розничная торговля автомобилями (дилерский центр)
73,101260,БЦР Моторс,"Легковые, грузовые автомобили, мототехника, автобусы, троллейбусы (продвижение, оптовая торговля)","Легковые, грузовые автомобили, мототехника, автобусы, троллейбусы (продвижение, оптовая торговля)"
74,101316,Интерра,Разработка программного обеспечения,Разработка программного обеспечения
75,101316,Интерра,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг","Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
76,101317,ВиЭф Сервисес,Государственные организации,Государственные организации
77,101317,ВиЭф Сервисес,Консалтинговые услуги,Консалтинговые услуги
78,101317,ВиЭф Сервисес,"Колл-центры, диспетчерские службы","Колл-центры, диспетчерские службы"
79,101317,ВиЭф Сервисес,Услуги по организации поездок и бронированию,Услуги по организации поездок и бронированию
80,101317,ВиЭф Сервисес,Туристические компании,Туристические компании
81,1013545,Сеть дискаунтеров «Задарма»,Розничная сеть (продуктовая),Розничная сеть (продуктовая)
82,1013600,Гипротюменнефтегаз,"Научно-исследовательская, научная, академическая деятельность","Научно-исследовательская, научная, академическая деятельность"
83,1013600,Гипротюменнефтегаз,"Архитектура, проектирование","Архитектура, проектирование"
84,10137,RICOH Rus,"Электронно-вычислительная, оптическая, контрольно-измерительная техника, радиоэлектроника, автоматика (продвижение, оптовая торговля)","Электронно-вычислительная, оптическая, контрольно-измерительная техника, радиоэлектроника, автоматика (продвижение, оптовая торговля)"
85,10137,RICOH Rus,"Электронно-вычислительная, оптическая, контрольно-измерительная техника, радиоэлектроника, автоматика (производство)","Электронно-вычислительная, оптическая, контрольно-измерительная техника, радиоэлектроника, автоматика (производство)"
86,10137,RICOH Rus,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг","Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
87,1014751,ID Logistics,Складские услуги,Складские услуги
88,10156,Интерфакс,Издательская деятельность,Издательская деятельность
89,10156,Интерфакс,"Интернет-компания (поисковики, платежные системы, соц.сети, информационно-познавательные и развлекательные ресурсы, продвижение сайтов и прочее)","Интернет-компания (поисковики, платежные системы, соц.сети, информационно-познавательные и развлекательные ресурсы, продвижение сайтов и прочее)"
90,1015630,Филберт,Коллекторская деятельность,Коллекторская деятельность
91,10160,CSI (Кристалл Сервис Интеграция),"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг","Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
92,1016164,ГУЗ Ульяновская областная клиническая больница,Лечебно-профилактические учреждения,Лечебно-профилактические учреждения
93,1016603,Pendulum Instruments,Разработка программного обеспечения,Разработка программного обеспечения
94,1016862,Ardecs,Разработка программного обеспечения,Разработка программного обеспечения
95,1016920,Overmobile,Разработка программного обеспечения,Разработка программного обеспечения
96,1018465,Столет,"Распространение телепрограмм, кино (кабельное телевидение)","Распространение телепрограмм, кино (кабельное телевидение)"
97,1018465,Столет,"Производство мультимедиа, контента, редакторская деятельность","Производство мультимедиа, контента, редакторская деятельность"
98,1018465,Столет,Теле- и радиовещание,Теле- и радиовещание
99,1018814,Комфорт-сервис Домовёнок,Домашний персонал,Домашний персонал
100,1018814,Комфорт-сервис Домовёнок,Химчистка,Химчистка
101,1018848,Инста,"Управляющая, инвестиционная компания (управление активами)","Управляющая, инвестиционная компания (управление активами)"
102,101928,ТомскНИПИнефть,"Нефтехимия (продвижение, оптовая торговля)","Нефтехимия (продвижение, оптовая торговля)"
103,101928,ТомскНИПИнефть,"Нефтепереработка, нефтехимия (производство)","Нефтепереработка, нефтехимия (производство)"
104,101928,ТомскНИПИнефть,"Инженерно-изыскательские, гидрогеологические, геологоразведочные работы","Инженерно-изыскательские, гидрогеологические, геологоразведочные работы"
105,101928,ТомскНИПИнефть,"Архитектура, проектирование","Архитектура, проектирование"
106,101929,Национальная почтовая служба,"Курьерская, почтовая доставка","Курьерская, почтовая доставка"
107,101929,Национальная почтовая служба,"Производство печатной, полиграфической продукции","Производство печатной, полиграфической продукции"
108,1019709,Цифровой кошелек Credits,"Финансово-кредитное посредничество (биржа, брокерская деятельность, выпуск и обслуживание карт, оценка рисков, обменные пункты, агентства по кредитованию, инкассация, ломбард, платежные системы)","Финансово-кредитное посредничество (биржа, брокерская деятельность, выпуск и обслуживание карт, оценка рисков, обменные пункты, агентства по кредитованию, инкассация, ломбард, платежные системы)"
109,1019709,Цифровой кошелек Credits,Банк,Банк
110,1019709,Цифровой кошелек Credits,"Интернет-компания (поисковики, платежные системы, соц.сети, информационно-познавательные и развлекательные ресурсы, продвижение сайтов и прочее)","Интернет-компания (поисковики, платежные системы, соц.сети, информационно-познавательные и развлекательные ресурсы, продвижение сайтов и прочее)"
111,1019709,Цифровой кошелек Credits,Разработка программного обеспечения,Разработка программного обеспечения
112,1019812,Новые Технологии,"Маркетинговые, рекламные, BTL, дизайнерские, Event-, PR-агентства, организация выставок","Маркетинговые, рекламные, BTL, дизайнерские, Event-, PR-агентства, организация выставок"
113,1020361,Сервисный центр Хайвтек,"Электронно-вычислительная, оптическая, контрольно-измерительная техника, радиоэлектроника, автоматика (монтаж, сервис, ремонт)","Электронно-вычислительная, оптическая, контрольно-измерительная техника, радиоэлектроника, автоматика (монтаж, сервис, ремонт)"
114,1020361,Сервисный центр Хайвтек,"Бытовая техника, электроника, климатическое оборудование (монтаж, сервис, ремонт)","Бытовая техника, электроника, климатическое оборудование (монтаж, сервис, ремонт)"
115,1020627,Старлайнер,Услуги по организации поездок и бронированию,Услуги по организации поездок и бронированию
116,1020627,Старлайнер,Разработка программного обеспечения,Разработка программного обеспечения
117,1020673,DELTA,"Интернет-компания (поисковики, платежные системы, соц.сети, информационно-познавательные и развлекательные ресурсы, продвижение сайтов и прочее)","Интернет-компания (поисковики, платежные системы, соц.сети, информационно-познавательные и развлекательные ресурсы, продвижение сайтов и прочее)"
118,1020927,Центр Информационных Технологий БАРС,Разработка программного обеспечения,Разработка программного обеспечения
119,102115,Allсorrect,Переводческая деятельность,Переводческая деятельность
120,102115,Allсorrect,Разработка программного обеспечения,Разработка программного обеспечения
121,102115,Allсorrect,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг","Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
122,1021502,Группа компаний Деловая сеть,Интернет-провайдер,Интернет-провайдер
123,1021502,Группа компаний Деловая сеть,Разработка программного обеспечения,Разработка программного обеспечения
124,1021502,Группа компаний Деловая сеть,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг","Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
125,10227,НОВИКОМБАНК,Банк,Банк
126,1022981,Denero,"Интернет-компания (поисковики, платежные системы, соц.сети, информационно-познавательные и развлекательные ресурсы, продвижение сайтов и прочее)","Интернет-компания (поисковики, платежные системы, соц.сети, информационно-познавательные и развлекательные ресурсы, продвижение сайтов и прочее)"
127,1023028,ТРАНСПОСОФТ,Разработка программного обеспечения,Разработка программного обеспечения
128,1023028,ТРАНСПОСОФТ,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг","Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
129,1023197,Профи-Групп,Разработка программного обеспечения,Разработка программного обеспечения
130,1023318,Научно-производственная фирма Микран,"Электронно-вычислительная, оптическая, контрольно-измерительная техника, радиоэлектроника, автоматика (продвижение, оптовая торговля)","Электронно-вычислительная, оптическая, контрольно-измерительная техника, радиоэлектроника, автоматика (продвижение, оптовая торговля)"
131,1023318,Научно-производственная фирма Микран,"Электронно-вычислительная, оптическая, контрольно-измерительная техника, радиоэлектроника, автоматика (производство)","Электронно-вычислительная, оптическая, контрольно-измерительная техника, радиоэлектроника, автоматика (производство)"
132,102371,"Ортикон, Группа компаний",Консалтинговые услуги,Консалтинговые услуги
133,102393,"Адвокатское Бюро Егоров, Пугинский, Афанасьев и партнеры",Юридическое обслуживание,Юридическое обслуживание
134,1024236,Сентор Софтвер,Разработка программного обеспечения,Разработка программного обеспечения
135,1024236,Сентор Софтвер,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг","Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
136,102441,"КуулКлевер (МясновЪ, Отдохни)",Розничная сеть (продуктовая),Розничная сеть (продуктовая)
137,102441,"КуулКлевер (МясновЪ, Отдохни)",Хлебобулочные изделия (производство),Хлебобулочные изделия (производство)
138,102441,"КуулКлевер (МясновЪ, Отдохни)",Молочная продукция (производство),Молочная продукция (производство)
139,102441,"КуулКлевер (МясновЪ, Отдохни)",Мясная продукция (производство),Мясная продукция (производство)
140,102441,"КуулКлевер (МясновЪ, Отдохни)","Ресторан, общественное питание, фаст-фуд","Ресторан, общественное питание, фаст-фуд"
141,102501,LG Electronics Inc.,Разработка программного обеспечения,Разработка программного обеспечения
142,1025176,Ресторанная группа Dreamteam,"Ресторан, общественное питание, фаст-фуд","Ресторан, общественное питание, фаст-фуд"
143,1025275,Сеть магазинов цифровой и бытовой техники DNS,"Розничная сеть (электроника, бытовая техника)","Розничная сеть (электроника, бытовая техника)"
144,1025275,Сеть магазинов цифровой и бытовой техники DNS,Розничная сеть (мобильный ретейл),Розничная сеть (мобильный ретейл)
145,1025275,Сеть магазинов цифровой и бытовой техники DNS,"Бытовая техника, электроника, климатическое оборудование (продвижение, оптовая торговля)","Бытовая техника, электроника, климатическое оборудование (продвижение, оптовая торговля)"
146,1025275,Сеть магазинов цифровой и бытовой техники DNS,"Бытовая техника, электроника, климатическое оборудование (монтаж, сервис, ремонт)","Бытовая техника, электроника, климатическое оборудование (монтаж, сервис, ремонт)"
147,1025291,ИнтерСервис ЛТД,"Несетевая розница, мелкий опт","Несетевая розница, мелкий опт"
148,1025291,ИнтерСервис ЛТД,"Канцтовары, расходные материалы (продвижение, оптовая торговля)","Канцтовары, расходные материалы (продвижение, оптовая торговля)"
149,1025291,ИнтерСервис ЛТД,"Канцтовары, расходные материалы (производство)","Канцтовары, расходные материалы (производство)"
150,1025474,Химсервис,"Легковые, грузовые автомобили, мототехника, автобусы, троллейбусы (производство)","Легковые, грузовые автомобили, мототехника, автобусы, троллейбусы (производство)"
151,1025474,Химсервис,Розничная торговля автомобилями (дилерский центр),Розничная торговля автомобилями (дилерский центр)
152,1025474,Химсервис,"Легковые, грузовые автомобили, мототехника, автобусы, троллейбусы (продвижение, оптовая торговля)","Легковые, грузовые автомобили, мототехника, автобусы, троллейбусы (продвижение, оптовая торговля)"
153,1025602,SBI Bank,Банк,Банк
154,1026592,Forest-Home,"Спортивные товары и оборудование (продвижение, оптовая торговля)","Спортивные товары и оборудование (продвижение, оптовая торговля)"
155,1027871,Ремарк,"Интернет-компания (поисковики, платежные системы, соц.сети, информационно-познавательные и развлекательные ресурсы, продвижение сайтов и прочее)","Интернет-компания (поисковики, платежные системы, соц.сети, информационно-познавательные и развлекательные ресурсы, продвижение сайтов и прочее)"
156,1027871,Ремарк,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг","Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
157,1027871,Ремарк,"Маркетинговые, рекламные, BTL, дизайнерские, Event-, PR-агентства, организация выставок","Маркетинговые, рекламные, BTL, дизайнерские, Event-, PR-агентства, организация выставок"
158,1028179,Корпорация «Проект-техника»,"Производство и ремонт военной техники, оборудования и вооружения","Производство и ремонт военной техники, оборудования и вооружения"
159,1028179,Корпорация «Проект-техника»,"Промышленное, бытовое электрооборудование и электротехника (производство)","Промышленное, бытовое электрооборудование и электротехника (производство)"
160,102879,Ступинский химический завод,"Несетевая розница, мелкий опт","Несетевая розница, мелкий опт"
161,102879,Ступинский химический завод,"Бытовая химия, парфюмерия, косметика  (продвижение, оптовая торговля)","Бытовая химия, парфюмерия, косметика  (продвижение, оптовая торговля)"
162,102879,Ступинский химический завод,"Бытовая химия, парфюмерия, косметика  (производство)","Бытовая химия, парфюмерия, косметика  (производство)"
163,1029031,ЭнергоРосСтрой,"Электронно-вычислительная, оптическая, контрольно-измерительная техника, радиоэлектроника, автоматика (продвижение, оптовая торговля)","Электронно-вычислительная, оптическая, контрольно-измерительная техника, радиоэлектроника, автоматика (продвижение, оптовая торговля)"
164,1029031,ЭнергоРосСтрой,"Промышленное, бытовое электрооборудование и электротехника (продвижение, оптовая торговля)","Промышленное, бытовое электрооборудование и электротехника (продвижение, оптовая торговля)"
165,1029031,ЭнергоРосСтрой,"Промышленное, бытовое электрооборудование и электротехника (производство)","Промышленное, бытовое электрооборудование и электротехника (производство)"
166,1029409,Адар,"Маркетинговые, рекламные, BTL, дизайнерские, Event-, PR-агентства, организация выставок","Маркетинговые, рекламные, BTL, дизайнерские, Event-, PR-агентства, организация выставок"
167,1029942,Интеллит,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг","Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
168,1030478,Система Город,Разработка программного обеспечения,Разработка программного обеспечения
169,1030733,"ВЕРНЫЙ, Сеть магазинов",Розничная сеть (продуктовая),Розничная сеть (продуктовая)
170,1030953,Инвольта,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг","Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
